year;district;indicator;number
2020;Centrum;demographics_age_0-5_men;2104
2020;Centrum;demographics_age_6-15_men;2035
2020;Centrum;demographics_age_16-19_men;734
2020;Centrum;demographics_age_20-64_men;20058
2020;Centrum;demographics_age_65-79_men;2592
2020;Centrum;demographics_age_80+_men;571
2020;Centrum;demographics_age_total_men;28094
2020;Centrum;demographics_age_0-5_women;1938
2020;Centrum;demographics_age_6-15_women;2148
2020;Centrum;demographics_age_16-19_women;779
2020;Centrum;demographics_age_20-64_women;20021
2020;Centrum;demographics_age_65-79_women;2860
2020;Centrum;demographics_age_80+_women;1017
2020;Centrum;demographics_age_total_women;28763
2020;Centrum;demographics_age_0-5_all;4042
2020;Centrum;demographics_age_6-15_all;4183
2020;Centrum;demographics_age_16-19_all;1513
2020;Centrum;demographics_age_20-64_all;40079
2020;Centrum;demographics_age_65-79_all;5452
2020;Centrum;demographics_age_80+_all;1588
2020;Centrum;demographics_age_total_all;56857
2020;Södra Innerstaden;demographics_age_0-5_men;1268
2020;Södra Innerstaden;demographics_age_6-15_men;1427
2020;Södra Innerstaden;demographics_age_16-19_men;470
2020;Södra Innerstaden;demographics_age_20-64_men;13552
2020;Södra Innerstaden;demographics_age_65-79_men;1264
2020;Södra Innerstaden;demographics_age_80+_men;296
2020;Södra Innerstaden;demographics_age_total_men;18277
2020;Södra Innerstaden;demographics_age_0-5_women;1257
2020;Södra Innerstaden;demographics_age_6-15_women;1369
2020;Södra Innerstaden;demographics_age_16-19_women;421
2020;Södra Innerstaden;demographics_age_20-64_women;13291
2020;Södra Innerstaden;demographics_age_65-79_women;1310
2020;Södra Innerstaden;demographics_age_80+_women;490
2020;Södra Innerstaden;demographics_age_total_women;18138
2020;Södra Innerstaden;demographics_age_0-5_all;2525
2020;Södra Innerstaden;demographics_age_6-15_all;2796
2020;Södra Innerstaden;demographics_age_16-19_all;891
2020;Södra Innerstaden;demographics_age_20-64_all;26843
2020;Södra Innerstaden;demographics_age_65-79_all;2574
2020;Södra Innerstaden;demographics_age_80+_all;786
2020;Södra Innerstaden;demographics_age_total_all;36415
2020;Västra Innerstaden;demographics_age_0-5_men;1187
2020;Västra Innerstaden;demographics_age_6-15_men;1486
2020;Västra Innerstaden;demographics_age_16-19_men;475
2020;Västra Innerstaden;demographics_age_20-64_men;10471
2020;Västra Innerstaden;demographics_age_65-79_men;2174
2020;Västra Innerstaden;demographics_age_80+_men;595
2020;Västra Innerstaden;demographics_age_total_men;16388
2020;Västra Innerstaden;demographics_age_0-5_women;1109
2020;Västra Innerstaden;demographics_age_6-15_women;1411
2020;Västra Innerstaden;demographics_age_16-19_women;475
2020;Västra Innerstaden;demographics_age_20-64_women;11817
2020;Västra Innerstaden;demographics_age_65-79_women;2858
2020;Västra Innerstaden;demographics_age_80+_women;1363
2020;Västra Innerstaden;demographics_age_total_women;19033
2020;Västra Innerstaden;demographics_age_0-5_all;2296
2020;Västra Innerstaden;demographics_age_6-15_all;2897
2020;Västra Innerstaden;demographics_age_16-19_all;950
2020;Västra Innerstaden;demographics_age_20-64_all;22288
2020;Västra Innerstaden;demographics_age_65-79_all;5032
2020;Västra Innerstaden;demographics_age_80+_all;1958
