year;district;indicator;number
2020;Centrum;foreign-background_foreign-born_men;8174
2020;Centrum;foreign-background_native-born-with-two-foreign-parents_men;2377
2020;Centrum;foreign-background_others_men;17543
2020;Centrum;foreign-background_total_men;28094
2020;Centrum;foreign-background_foreign-born_women;8515
2020;Centrum;foreign-background_native-born-with-two-foreign-parents_women;2434
2020;Centrum;foreign-background_others_women;17814
2020;Centrum;foreign-background_total_women;28763
2020;Centrum;foreign-background_foreign-born_all;16689
2020;Centrum;foreign-background_native-born-with-two-foreign-parents_all;4811
2020;Centrum;foreign-background_others_all;35357
2020;Centrum;foreign-background_total_all;56857
2020;Södra Innerstaden;foreign-background_foreign-born_men;7062
2020;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_men;2021
2020;Södra Innerstaden;foreign-background_others_men;9194
2020;Södra Innerstaden;foreign-background_total_men;18277
2020;Södra Innerstaden;foreign-background_foreign-born_women;6388
2020;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_women;2012
2020;Södra Innerstaden;foreign-background_others_women;9738
2020;Södra Innerstaden;foreign-background_total_women;18138
2020;Södra Innerstaden;foreign-background_foreign-born_all;13450
2020;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_all;4033
2020;Södra Innerstaden;foreign-background_others_all;18932
2020;Södra Innerstaden;foreign-background_total_all;36415
2020;Västra Innerstaden;foreign-background_foreign-born_men;2994
2020;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_men;953
2020;Västra Innerstaden;foreign-background_others_men;12441
2020;Västra Innerstaden;foreign-background_total_men;16388
2020;Västra Innerstaden;foreign-background_foreign-born_women;3262
2020;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_women;972
2020;Västra Innerstaden;foreign-background_others_women;14799
2020;Västra Innerstaden;foreign-background_total_women;19033
2020;Västra Innerstaden;foreign-background_foreign-born_all;6256
2020;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_all;1925
2020;Västra Innerstaden;foreign-background_others_all;27240
2020;Västra Innerstaden;foreign-background_total_all;35421
2020;Limhamn-Bunkeflo;foreign-background_foreign-born_men;5763
2020;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_men;1822
2020;Limhamn-Bunkeflo;foreign-background_others_men;19812
2020;Limhamn-Bunkeflo;foreign-background_total_men;27397
2020;Limhamn-Bunkeflo;foreign-background_foreign-born_women;6016
2020;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_women;1862
2020;Limhamn-Bunkeflo;foreign-background_others_women;20451
2020;Limhamn-Bunkeflo;foreign-background_total_women;28329
2020;Limhamn-Bunkeflo;foreign-background_foreign-born_all;11779
2020;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_all;3684
2020;Limhamn-Bunkeflo;foreign-background_others_all;40263
2020;Limhamn-Bunkeflo;foreign-background_total_all;55726
2020;Hyllie;foreign-background_foreign-born_men;7821
2020;Hyllie;foreign-background_native-born-with-two-foreign-parents_men;3291
2020;Hyllie;foreign-background_others_men;8116
2020;Hyllie;foreign-background_total_men;19228
2020;Hyllie;foreign-background_foreign-born_women;8146
2020;Hyllie;foreign-background_native-born-with-two-foreign-parents_women;3139
2020;Hyllie;foreign-background_others_women;9004
2020;Hyllie;foreign-background_total_women;20289
2020;Hyllie;foreign-background_foreign-born_all;15967
2020;Hyllie;foreign-background_native-born-with-two-foreign-parents_all;6430
2020;Hyllie;foreign-background_others_all;17120
2020;Hyllie;foreign-background_total_all;39517
2020;Fosie;foreign-background_foreign-born_men;13101
2020;Fosie;foreign-background_native-born-with-two-foreign-parents_men;4803
2020;Fosie;foreign-background_others_men;5546
2020;Fosie;foreign-background_total_men;23450
2020;Fosie;foreign-background_foreign-born_women;12064
2020;Fosie;foreign-background_native-born-with-two-foreign-parents_women;4582
2020;Fosie;foreign-background_others_women;5989
2020;Fosie;foreign-background_total_women;22635
2020;Fosie;foreign-background_foreign-born_all;25165
2020;Fosie;foreign-background_native-born-with-two-foreign-parents_all;9385
2020;Fosie;foreign-background_others_all;11535
2020;Fosie;foreign-background_total_all;46085
2020;Oxie;foreign-background_foreign-born_men;2252
2020;Oxie;foreign-background_native-born-with-two-foreign-parents_men;1010
2020;Oxie;foreign-background_others_men;3787
2020;Oxie;foreign-background_total_men;7049
2020;Oxie;foreign-background_foreign-born_women;2092
2020;Oxie;foreign-background_native-born-with-two-foreign-parents_women;978
2020;Oxie;foreign-background_others_women;3842
2020;Oxie;foreign-background_total_women;6912
2020;Oxie;foreign-background_foreign-born_all;4344
2020;Oxie;foreign-background_native-born-with-two-foreign-parents_all;1988
2020;Oxie;foreign-background_others_all;7629
2020;Oxie;foreign-background_total_all;13961
2020;Rosengård;foreign-background_foreign-born_men;7244
2020;Rosengård;foreign-background_native-born-with-two-foreign-parents_men;3099
2020;Rosengård;foreign-background_others_men;1341
2020;Rosengård;foreign-background_total_men;11684
2020;Rosengård;foreign-background_foreign-born_women;6964
2020;Rosengård;foreign-background_native-born-with-two-foreign-parents_women;2990
2020;Rosengård;foreign-background_others_women;1336
2020;Rosengård;foreign-background_total_women;11290
2020;Rosengård;foreign-background_foreign-born_all;14208
2020;Rosengård;foreign-background_native-born-with-two-foreign-parents_all;6089
2020;Rosengård;foreign-background_others_all;2677
2020;Rosengård;foreign-background_total_all;22974
2020;Husie;foreign-background_foreign-born_men;3290
2020;Husie;foreign-background_native-born-with-two-foreign-parents_men;1777
2020;Husie;foreign-background_others_men;6839
2020;Husie;foreign-background_total_men;11906
2020;Husie;foreign-background_foreign-born_women;3250
2020;Husie;foreign-background_native-born-with-two-foreign-parents_women;1623
2020;Husie;foreign-background_others_women;7110
2020;Husie;foreign-background_total_women;11983
2020;Husie;foreign-background_foreign-born_all;6540
2020;Husie;foreign-background_native-born-with-two-foreign-parents_all;3400
2020;Husie;foreign-background_others_all;13949
2020;Husie;foreign-background_total_all;23889
2020;Kirseberg;foreign-background_foreign-born_men;2827
2020;Kirseberg;foreign-background_native-born-with-two-foreign-parents_men;975
2020;Kirseberg;foreign-background_others_men;4493
2020;Kirseberg;foreign-background_total_men;8295
2020;Kirseberg;foreign-background_foreign-born_women;2662
2020;Kirseberg;foreign-background_native-born-with-two-foreign-parents_women;859
2020;Kirseberg;foreign-background_others_women;4181
2020;Kirseberg;foreign-background_total_women;7702
2020;Kirseberg;foreign-background_foreign-born_all;5489
2020;Kirseberg;foreign-background_native-born-with-two-foreign-parents_all;1834
2020;Kirseberg;foreign-background_others_all;8674
2020;Kirseberg;foreign-background_total_all;15997
2019;Centrum;foreign-background_foreign-born_men;7992
2019;Centrum;foreign-background_native-born-with-two-foreign-parents_men;2243
2019;Centrum;foreign-background_others_men;17398
2019;Centrum;foreign-background_total_men;27633
2019;Centrum;foreign-background_foreign-born_women;8327
2019;Centrum;foreign-background_native-born-with-two-foreign-parents_women;2331
2019;Centrum;foreign-background_others_women;17672
2019;Centrum;foreign-background_total_women;28330
2019;Centrum;foreign-background_foreign-born_all;16319
2019;Centrum;foreign-background_native-born-with-two-foreign-parents_all;4574
2019;Centrum;foreign-background_others_all;35070
2019;Centrum;foreign-background_total_all;55963
2019;Södra Innerstaden;foreign-background_foreign-born_men;7170
2019;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_men;2029
2019;Södra Innerstaden;foreign-background_others_men;9264
2019;Södra Innerstaden;foreign-background_total_men;18463
2019;Södra Innerstaden;foreign-background_foreign-born_women;6441
2019;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_women;2023
2019;Södra Innerstaden;foreign-background_others_women;9716
2019;Södra Innerstaden;foreign-background_total_women;18180
2019;Södra Innerstaden;foreign-background_foreign-born_all;13611
2019;Södra Innerstaden;foreign-background_native-born-with-two-foreign-parents_all;4052
2019;Södra Innerstaden;foreign-background_others_all;18980
2019;Södra Innerstaden;foreign-background_total_all;36643
2019;Västra Innerstaden;foreign-background_foreign-born_men;2957
2019;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_men;939
2019;Västra Innerstaden;foreign-background_others_men;12534
2019;Västra Innerstaden;foreign-background_total_men;16430
2019;Västra Innerstaden;foreign-background_foreign-born_women;3290
2019;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_women;939
2019;Västra Innerstaden;foreign-background_others_women;14870
2019;Västra Innerstaden;foreign-background_total_women;19099
2019;Västra Innerstaden;foreign-background_foreign-born_all;6247
2019;Västra Innerstaden;foreign-background_native-born-with-two-foreign-parents_all;1878
2019;Västra Innerstaden;foreign-background_others_all;27404
2019;Västra Innerstaden;foreign-background_total_all;35529
2019;Limhamn-Bunkeflo;foreign-background_foreign-born_men;5010
2019;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_men;1622
2019;Limhamn-Bunkeflo;foreign-background_others_men;19317
2019;Limhamn-Bunkeflo;foreign-background_total_men;25949
2019;Limhamn-Bunkeflo;foreign-background_foreign-born_women;5284
2019;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_women;1638
2019;Limhamn-Bunkeflo;foreign-background_others_women;19811
2019;Limhamn-Bunkeflo;foreign-background_total_women;26733
2019;Limhamn-Bunkeflo;foreign-background_foreign-born_all;10294
2019;Limhamn-Bunkeflo;foreign-background_native-born-with-two-foreign-parents_all;3260
2019;Limhamn-Bunkeflo;foreign-background_others_all;39128
2019;Limhamn-Bunkeflo;foreign-background_total_all;52682
2019;Hyllie;foreign-background_foreign-born_men;7512
2019;Hyllie;foreign-background_native-born-with-two-foreign-parents_men;3126
2019;Hyllie;foreign-background_others_men;8127
2019;Hyllie;foreign-background_total_men;18765
2019;Hyllie;foreign-background_foreign-born_women;7874
2019;Hyllie;foreign-background_native-born-with-two-foreign-parents_women;3067
2019;Hyllie;foreign-background_others_women;9130
2019;Hyllie;foreign-background_total_women;20071
2019;Hyllie;foreign-background_foreign-born_all;15386
2019;Hyllie;foreign-background_native-born-with-two-foreign-parents_all;6193
2019;Hyllie;foreign-background_others_all;17257
2019;Hyllie;foreign-background_total_all;38836
2019;Fosie;foreign-background_foreign-born_men;13147
2019;Fosie;foreign-background_native-born-with-two-foreign-parents_men;4737
2019;Fosie;foreign-background_others_men;5774
2019;Fosie;foreign-background_total_men;23658
2019;Fosie;foreign-background_foreign-born_women;12166
2019;Fosie;foreign-background_native-born-with-two-foreign-parents_women;4469
2019;Fosie;foreign-background_others_women;6242
2019;Fosie;foreign-background_total_women;22877
2019;Fosie;foreign-background_foreign-born_all;25313
2019;Fosie;foreign-background_native-born-with-two-foreign-parents_all;9206
2019;Fosie;foreign-background_others_all;12016
2019;Fosie;foreign-background_total_all;46535
2019;Oxie;foreign-background_foreign-born_men;2172
2019;Oxie;foreign-background_native-born-with-two-foreign-parents_men;924
2019;Oxie;foreign-background_others_men;3852
2019;Oxie;foreign-background_total_men;6948
2019;Oxie;foreign-background_foreign-born_women;1965
2019;Oxie;foreign-background_native-born-with-two-foreign-parents_women;898
2019;Oxie;foreign-background_others_women;3875
2019;Oxie;foreign-background_total_women;6738
2019;Oxie;foreign-background_foreign-born_all;4137
2019;Oxie;foreign-background_native-born-with-two-foreign-parents_all;1822
2019;Oxie;foreign-background_others_all;7727
2019;Oxie;foreign-background_total_all;13686
2019;Rosengård;foreign-background_foreign-born_men;7340
2019;Rosengård;foreign-background_native-born-with-two-foreign-parents_men;3185
2019;Rosengård;foreign-background_others_men;1331
2019;Rosengård;foreign-background_total_men;11856
2019;Rosengård;foreign-background_foreign-born_women;7105
2019;Rosengård;foreign-background_native-born-with-two-foreign-parents_women;3051
2019;Rosengård;foreign-background_others_women;1353
2019;Rosengård;foreign-background_total_women;11509
2019;Rosengård;foreign-background_foreign-born_all;14445
2019;Rosengård;foreign-background_native-born-with-two-foreign-parents_all;6236
2019;Rosengård;foreign-background_others_all;2684
2019;Rosengård;foreign-background_total_all;23365
2019;Husie;foreign-background_foreign-born_men;3132
2019;Husie;foreign-background_native-born-with-two-foreign-parents_men;1641
2019;Husie;foreign-background_others_men;6878
2019;Husie;foreign-background_total_men;11651
2019;Husie;foreign-background_foreign-born_women;3135
2019;Husie;foreign-background_native-born-with-two-foreign-parents_women;1565
2019;Husie;foreign-background_others_women;7185
2019;Husie;foreign-background_total_women;11885
2019;Husie;foreign-background_foreign-born_all;6267
2019;Husie;foreign-background_native-born-with-two-foreign-parents_all;3206
2019;Husie;foreign-background_others_all;14063
2019;Husie;foreign-background_total_all;23536
2019;Kirseberg;foreign-background_foreign-born_men;2918
